s01e01	Winter is Coming	 "We're Lannisters.
s01e01	Winter is Coming	 Lannisters don't act like fools.
s01e01	Winter is Coming	" - What if Jon Arryn told someone? - But who would he tell? My husband.
s01e01	Winter is Coming	 If he told the king, both our heads would be skewered on the city gates by now.
s01e01	Winter is Coming	 Whatever Jon Arryn knew or didn't know, it died with him.
s01e01	Winter is Coming	 And Robert will choose a new Hand of the King, someone to do his job while he's off fucking boars and hunting whores.
s01e01	Winter is Coming	 Or is it the other way around? And life will go on.
s01e01	Winter is Coming	 You should be the Hand of the King.
s01e01	Winter is Coming	 That's an honor I can do without.
s01e01	Winter is Coming	 Their days are too long, their lives are too short.
s01e01	Winter is Coming	 All these years, and I still feel like an outsider when I come here.
s01e01	Winter is Coming	 You have five northern children.
s01e01	Winter is Coming	 You're not an outsider.
s01e01	Winter is Coming	 I wonder if the old gods agree.
s01e01	Winter is Coming	 It's your gods with all the rules.
s01e01	Winter is Coming	 I am so sorry, my love.
s01e01	Winter is Coming	 - Tell me.
s01e01	Winter is Coming	 - There was a raven from King's Landing.
s01e01	Winter is Coming	 Jon Arryn is dead.
s01e01	Winter is Coming	 A fever took him.
s01e01	Winter is Coming	 I know he was like a father to you.
s01e01	Winter is Coming	 - Your sister, the boy? - They both have their health, gods be good.
s01e01	Winter is Coming	 The raven brought more news.
s01e01	Winter is Coming	 The king rides for Winterfell with the queen and all the rest of them.
s01e01	Winter is Coming	 If he's coming this far north there's only one thing he's after.
s01e01	Winter is Coming	 You can always say no, Ned.
s01e01	Winter is Coming	 We'll need plenty of candles for Lord Tyrion's chamber.
s01e01	Winter is Coming	 - I'm told he reads all night.
s01e01	Winter is Coming	 - I'm told he drinks all night.
s01e01	Winter is Coming	 How much could he possibly drink? A man of his stature? We've brought up eight barrels of ale from the cellar.
s01e01	Winter is Coming	 Perhaps we'll find out.
s01e01	Winter is Coming	 In any case, candles.
s01e01	Winter is Coming	 Why is your mother so dead set on us getting pretty for the king? It's for the queen, I bet.
s01e01	Winter is Coming	 I hear she's a sleek bit of mink.
s01e01	Winter is Coming	 I hear the prince is a right royal prick.
s01e01	Winter is Coming	 Think of all those southern girls he gets to stab with his right royal prick.
s01e01	Winter is Coming	 Go on, Tommy, shear him good.
s01e01	Winter is Coming	 He's never met a girl he likes better than his own hair.
s01e01	Winter is Coming	 Gods, but they grow fast.
s01e01	Winter is Coming	 Brandon! I saw the king.
s01e01	Winter is Coming	 He's got hundreds of people.
s01e01	Winter is Coming	 How many times have I told you? No climbing.
s01e01	Winter is Coming	 But he's coming right now, down our road.
s01e01	Winter is Coming	 I want you to promise me, no more climbing.
s01e01	Winter is Coming	 I promise.
s01e01	Winter is Coming	 - Do you know what? - What? You always look at your feet before you lie.
s01e01	Winter is Coming	 Run and find your father.
s01e01	Winter is Coming	 Tell him the king is close.
s01e01	Winter is Coming	 Where's Arya? Sansa, where's your sister? - Hey, hey, hey, hey.
s01e01	Winter is Coming	 - Oh.
s01e01	Winter is Coming	 What are you doing with that on? Go on.
s01e01	Winter is Coming	 Move! Your Grace.
s01e01	Winter is Coming	 You've got fat.
s01e01	Winter is Coming	 - Cat! - Your Grace.
s01e01	Winter is Coming	 Nine years Why haven't I seen you? Where the hell have you been? Guarding the North for you, Your Grace.
s01e01	Winter is Coming	 Winterfell is yours.
s01e01	Winter is Coming	 - Where's the Imp? - Will you shut up? Who have we here? You must be Robb.
s01e01	Winter is Coming	 My, you're a pretty one.
s01e01	Winter is Coming	 Your name is? Arya.
s01e01	Winter is Coming	 Oh, show us your muscles.
s01e01	Winter is Coming	 You'll be a soldier.
s01e01	Winter is Coming	 That's Jaime Lannister, the queen's twin brother.
s01e01	Winter is Coming	 Would you please shut up? My queen.
s01e01	Winter is Coming	 Take me to your crypt.
s01e01	Winter is Coming	 I want to pay my respects.
s01e01	Winter is Coming	 We've been riding for a month, my love.
s01e01	Winter is Coming	 Surely the dead can wait.
s01e01	Winter is Coming	 Ned.
s01e01	Winter is Coming	 Where's the Imp? Where is our brother? Go and find the little beast.
s01e01	Winter is Coming	 Tell me about Jon Arryn.
s01e01	Winter is Coming	 One minute he was fine and then burned right through him, whatever it was.
s01e01	Winter is Coming	 I loved that man.
s01e01	Winter is Coming	 We both did.
s01e01	Winter is Coming	 He never had to teach you much, but me? You remember me at 16? All I wanted to do was crack skulls and fuck girls.
s01e01	Winter is Coming	 - He showed me what was what.
s01e01	Winter is Coming	 - Aye.
s01e01	Winter is Coming	 Don't look at me like that.
s01e01	Winter is Coming	 It's not his fault I didn't listen.
s01e01	Winter is Coming	 I need you, Ned, down at King's Landing, not up here where you're no damn use to anybody.
s01e01	Winter is Coming	 Lord Eddard Stark I would name you the Hand of the King.
s01e01	Winter is Coming	 I'm not worthy of the honor.
s01e01	Winter is Coming	 I'm not trying to honor you.
s01e01	Winter is Coming	 I'm trying to get you to run my kingdom while I eat, drink and whore my way to an early grave.
s01e01	Winter is Coming	 Damn it, Ned, stand up.
s01e01	Winter is Coming	 You helped me win the Iron Throne, now help me keep the damn thing.
s01e01	Winter is Coming	 We were meant to rule together.
s01e01	Winter is Coming	 If your sister had lived, we'd have been bound by blood.
s01e01	Winter is Coming	 Well, it's not too late.
s01e01	Winter is Coming	 I have a son, you have a daughter.
s01e01	Winter is Coming	 We'll join our houses.
s01e01	Winter is Coming	 It is true what they say about the northern girls.
s01e01	Winter is Coming	 Did you hear the king's in Winterfell? I did hear something about that.
s01e01	Winter is Coming	 And the queen and her twin brother.
s01e01	Winter is Coming	 They say that he is the most handsome man in the Seven Kingdoms.
s01e01	Winter is Coming	 And the other brother? - The queen has two brothers? - There's the pretty one and there's the clever one.
s01e01	Winter is Coming	 Mmm I hear they call him the Imp.
s01e01	Winter is Coming	 I hear he hates that nickname.
s01e01	Winter is Coming	 Oh? I hear he's more than earned it.
s01e01	Winter is Coming	 I hear he's a drunken little lecher, prone to all manner of perversions.
s01e01	Winter is Coming	 Clever girl.
s01e01	Winter is Coming	 We've been expecting you, Lord Tyrion.
s01e01	Winter is Coming	 Have you? - Already? - Oh! The gods gave me one blessing.
s01e01	Winter is Coming	 - Don't get up.
s01e01	Winter is Coming	 - My lord.
s01e01	Winter is Coming	 Should I explain to you the meaning of a closed door in a whorehouse, brother? You have much to teach me, no doubt, but our sister craves your attention.
s01e01	Winter is Coming	 She has odd cravings, our sister.
s01e01	Winter is Coming	 A family trait.
s01e01	Winter is Coming	 Now, the Starks are feasting us at sundown.
s01e01	Winter is Coming	 - Don't leave me alone with these people.
s01e01	Winter is Coming	 - I'm sorry, I've begun the feast a bit early.
s01e01	Winter is Coming	 And this is the first of many courses.
s01e01	Winter is Coming	 I thought you might say that.
s01e01	Winter is Coming	 But since we're short on time Come on, girls.
s01e01	Winter is Coming	 See you at sundown.
s01e01	Winter is Coming	 Close the door! Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
s01e01	Winter is Coming	 She was my sister.
s01e01	Winter is Coming	 This is where she belongs.
s01e01	Winter is Coming	 She belonged with me.
s01e01	Winter is Coming	 In my dreams, I kill him every night.
s01e01	Winter is Coming	 It's done, Your Grace.
s01e01	Winter is Coming	 The Targaryens are gone.
s01e01	Winter is Coming	 Not all of them.
s01e01	Winter is Coming	 Daenerys! Daenerys.
s01e01	Winter is Coming	 There's our bride-to-be.
s01e01	Winter is Coming	 Look, a gift from Illyrio.
s01e01	Winter is Coming	 Touch it.
s01e01	Winter is Coming	 Go on, feel the fabric.
s01e01	Winter is Coming	 Mmm.
s01e01	Winter is Coming	 Isn't he a gracious host? We've been his guests for over a year and he's never asked us for anything.
s01e01	Winter is Coming	 Illyrio's no fool.
s01e01	Winter is Coming	 He knows I won't forget my friends when I come into my throne.
s01e01	Winter is Coming	 You still slouch.
s01e01	Winter is Coming	 Let them see.
s01e01	Winter is Coming	 You have a woman's body now.
s01e01	Winter is Coming	 I need you to be perfect today.
s01e01	Winter is Coming	 Can you do that for me? You don't want to wake the dragon, do you? No.
s01e01	Winter is Coming	 When they write the history of my reign, sweet sister, they will say it began today.
s01e01	Winter is Coming	 It's too hot, my lady.
s01e01	Winter is Coming	 Where is he? The Dothraki are not known for their punctuality.
s01e01	Winter is Coming	 May I present my honored guests? Viserys of House Targaryen, the third of his name, the rightful King of the Andals and the First Men, and his sister, Daenerys of House Targaryen.
s01e01	Winter is Coming	 Do you see how long his hair is? When Dothraki are defeated in combat they cut off their braid so the whole world can see their shame.
s01e01	Winter is Coming	 Khal Drogo has never been defeated.
s01e01	Winter is Coming	 He's a savage, of course, but he's one of the finest killers alive.
s01e01	Winter is Coming	 And you will be his queen.
s01e01	Winter is Coming	 Come forward, my dear.
s01e01	Winter is Coming	 Where is he going? - The ceremony is over.
s01e01	Winter is Coming	 - But he But he didn't say anything.
s01e01	Winter is Coming	 Did he like her? Trust me, Your Grace, if he didn't like her, we'd know.
s01e01	Winter is Coming	 It won't be long now.
s01e01	Winter is Coming	 Soon you will cross the narrow sea and take back your father's throne.
s01e01	Winter is Coming	 The people drink secret toasts to your health.
s01e01	Winter is Coming	 They cry out for their true king.
s01e01	Winter is Coming	 When will they be married? Soon.
s01e01	Winter is Coming	 The Dothraki never stay still for long.
s01e01	Winter is Coming	 Is it true they lie with their horses? I wouldn't ask Khal Drogo.
s01e01	Winter is Coming	 Do you take me for a fool? I take you for a king.
s01e01	Winter is Coming	 Kings lack the caution of common men.
s01e01	Winter is Coming	 My apologies if I've given offense.
s01e01	Winter is Coming	 I know how to play a man like Drogo.
s01e01	Winter is Coming	 I give him a queen and he gives me an army.
s01e01	Winter is Coming	 I don't want to be his queen.
s01e01	Winter is Coming	 I want to go home.
s01e01	Winter is Coming	 So do I.
s01e01	Winter is Coming	 I want us both to go home, but they took it from us.
s01e01	Winter is Coming	 So tell me, sweet sister, how do we go home? I don't know.
s01e01	Winter is Coming	 We go home with an army.
s01e01	Winter is Coming	 With Khal Drogo's army.
s01e01	Winter is Coming	 I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.
s01e01	Winter is Coming	 Do you think Joffrey will like me? What if he thinks I'm ugly? Then he is the stupidest prince that ever lived.
s01e01	Winter is Coming	 He's so handsome.
s01e01	Winter is Coming	 When would we be married? Soon? Or do we have to wait? Hush now.
s01e01	Winter is Coming	 Your father hasn't even said yes.
s01e01	Winter is Coming	 Why would he say no? He'd be the second most powerful man in the kingdoms.
s01e01	Winter is Coming	 He'd have to leave home.
s01e01	Winter is Coming	 He'd have to leave me.
s01e01	Winter is Coming	 And so would you.
s01e01	Winter is Coming	 You left your home to come here.
s01e01	Winter is Coming	 And I'd be queen someday.
s01e01	Winter is Coming	 Please make Father say yes! - Sansa - Please, please! It's the only thing I ever wanted.
s01e01	Winter is Coming	 Fill that up! Boys, Rodrik, come on.
s01e01	Winter is Coming	 Come on! Come here, you little beauty! Is he dead yet? Uncle Benjen.
s01e01	Winter is Coming	 You got bigger.
s01e01	Winter is Coming	 Rode all day.
s01e01	Winter is Coming	 Didn't want to leave you alone with the Lannisters.
s01e01	Winter is Coming	 Why aren't you at the feast? Lady Stark thought it might insult the royal family to seat a bastard in their midst.
s01e01	Winter is Coming	 Well, you're always welcome on the Wall.
s01e01	Winter is Coming	 No bastard was ever refused a seat there.
s01e01	Winter is Coming	 So take me with you when you go back.
s01e01	Winter is Coming	 - Jon - Father will let me if you ask him.
s01e01	Winter is Coming	 I know he will.
s01e01	Winter is Coming	 The Wall isn't going anywhere.
s01e01	Winter is Coming	 I'm ready to swear your oath.
s01e01	Winter is Coming	 You don't understand what you'd be giving up.
s01e01	Winter is Coming	 We have no families.
s01e01	Winter is Coming	 - None of us will ever father sons.
s01e01	Winter is Coming	 - I don't care about that.
s01e01	Winter is Coming	 You might, if you knew what it meant.
s01e01	Winter is Coming	 I'd better get inside, rescue your father from his guests.
s01e01	Winter is Coming	 We'll talk later.
s01e01	Winter is Coming	 Your uncle's in the Night's Watch.
s01e01	Winter is Coming	 What are you doing back there? Preparing for a night with your family.
s01e01	Winter is Coming	 I've always wanted to see the Wall.
s01e01	Winter is Coming	 You're Tyrion Lannister, the queen's brother? My greatest accomplishment.
s01e01	Winter is Coming	 And you, you're Ned Stark's bastard, aren't you? Did I offend you? Sorry.
s01e01	Winter is Coming	 You are the bastard, though.
s01e01	Winter is Coming	 Lord Eddard Stark is my father.
s01e01	Winter is Coming	 And Lady Stark is not your mother, making you the bastard.
s01e01	Winter is Coming	 Let me give you some advice, bastard.
s01e01	Winter is Coming	 Never forget what you are.
s01e01	Winter is Coming	 The rest of the world will not.
s01e01	Winter is Coming	 Wear it like armor and it can never be used to hurt you.
s01e01	Winter is Coming	 What the hell do you know about being a bastard? All dwarves are bastards in their father's eyes.
s01e01	Winter is Coming	 You at a feast it's like a bear in a trap.
s01e01	Winter is Coming	 The boy I beheaded - did you know him? - Of course I did.
s01e01	Winter is Coming	 Just a lad.
s01e01	Winter is Coming	 But he was tough, Ned, a true ranger.
s01e01	Winter is Coming	 He was talking madness.
s01e01	Winter is Coming	 Said the walkers slaughtered his friends.
s01e01	Winter is Coming	 The two he was with are still missing.
s01e01	Winter is Coming	 Hmph.
s01e01	Winter is Coming	 A wildling ambush.
s01e01	Winter is Coming	 Maybe.
s01e01	Winter is Coming	 Direwolves south of the Wall, talk of the walkers, and my brother might be the next Hand of the King.
s01e01	Winter is Coming	 Winter is coming.
s01e01	Winter is Coming	 - Uncle Benjen.
s01e01	Winter is Coming	 - Robb boy.
s01e01	Winter is Coming	 - How are you? - I'm good.
s01e01	Winter is Coming	 Is this your first time in the North, Your Grace? Yes.
s01e01	Winter is Coming	 Lovely country.
s01e01	Winter is Coming	 I'm sure it's very grim after King's Landing.
s01e01	Winter is Coming	 I remember how scared I was when Ned brought me up here for the first time.
s01e01	Winter is Coming	 Hello, little dove.
s01e01	Winter is Coming	 But you are a beauty.
s01e01	Winter is Coming	 - How old are you? - Thirteen, Your Grace.
s01e01	Winter is Coming	 You're tall.
s01e01	Winter is Coming	 Still growing? I think so, Your Grace.
s01e01	Winter is Coming	 And have you bled yet? No, Your Grace.
s01e01	Winter is Coming	 Your dress, did you make it? Such talent.
s01e01	Winter is Coming	 You must make something for me.
s01e01	Winter is Coming	 I hear we might share a grandchild someday.
s01e01	Winter is Coming	 I hear the same.
s01e01	Winter is Coming	 Your daughter will do well in the capital.
s01e01	Winter is Coming	 Such a beauty shouldn't stay hidden up here forever.
s01e01	Winter is Coming	 - Your pardon.
s01e01	Winter is Coming	 - I hear we might be neighbors soon.
s01e01	Winter is Coming	 - I hope it's true.
s01e01	Winter is Coming	 - Yes, the king has honored me with his offer.
s01e01	Winter is Coming	 I'm sure we'll have a tournament to celebrate your new title, if you accept.
s01e02	The Kingsroad	You need to drink, child.
s01e02	The Kingsroad	 And eat.
s01e02	The Kingsroad	 lsn't there anything else? The Dothraki have two things in abundance - grass and horses.
s01e02	The Kingsroad	 People can't live on grass.
s01e02	The Kingsroad	 ln the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night.
s01e02	The Kingsroad	 lt murders all other grass.
s01e02	The Kingsroad	 The Dothraki believe that one day it will cover everything - that's the way the world will end.
s01e02	The Kingsroad	 lt'll get easier.
s01e02	The Kingsroad	 Khaleesi! Your hands.
s01e02	The Kingsroad	 We're still not far from Pentos, Your Grace.
s01e02	The Kingsroad	 Master lllyrio has extended his hospitality.
s01e02	The Kingsroad	 You'd be more comfortable there.
s01e02	The Kingsroad	 l have no interest in hospitality or comfort.
s01e02	The Kingsroad	 l'll stay with Drogo until he fulfills his end of the bargain and l have my crown.
s01e02	The Kingsroad	 As you wish, Your Grace.
s01e02	The Kingsroad	 Well, Mormont, as brutish as this life is, l suppose it is preferable to beheading.
s01e02	The Kingsroad	 What did Ned Stark want you for? Buying from a slaver? Selling to one.
s01e02	The Kingsroad	 Some poachers l caught on my land.
s01e02	The Kingsroad	 Under my reign, you won't be punished for such nonsense.
s01e02	The Kingsroad	 You can rest assured of that.
s01e02	The Kingsroad	 Better-looking bitches than you're used to, Uncle.
s01e02	The Kingsroad	 My mother's been looking for you.
s01e02	The Kingsroad	 We ride for King's Landing today.
s01e02	The Kingsroad	 Before you go, you will call on Lord and Lady Stark and offer your sympathies.
s01e02	The Kingsroad	 What good will my sympathies do them? None.
s01e02	The Kingsroad	 But it is expected of you.
s01e02	The Kingsroad	 Your absence has already been noted.
s01e02	The Kingsroad	 The boy means nothing to me.
s01e02	The Kingsroad	 And l can't stand the wailing of women.
s01e02	The Kingsroad	 One word and l'll hit you again.
s01e02	The Kingsroad	 l'm telling Mother! Go! Tell her.
s01e02	The Kingsroad	 But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them.
s01e02	The Kingsroad	 Do you understand? You can't Do you understand? The Prince will remember that, little lord.
s01e02	The Kingsroad	 l hope so.
s01e02	The Kingsroad	 lf he forgets, be a good dog and remind him.
s01e02	The Kingsroad	 Ah.
s01e02	The Kingsroad	 Time for breakfast.
s01e02	The Kingsroad	 Bread.
s01e02	The Kingsroad	 And two of those little fish.
s01e02	The Kingsroad	 And a mug of dark beer to wash it down.
s01e02	The Kingsroad	 And bacon, burnt black.
s01e02	The Kingsroad	 Hyah.
s01e02	The Kingsroad	 - Little brother.
s01e02	The Kingsroad	 - Beloved siblings.
s01e02	The Kingsroad	 ls Bran going to die? Apparently not.
s01e02	The Kingsroad	 - What do you mean? - The maester says the boy may live.
s01e02	The Kingsroad	 lt's no mercy, letting a child linger in such pain.
s01e02	The Kingsroad	 Only the gods know for certain.
s01e02	The Kingsroad	 All the rest of us can do is pray.
s01e02	The Kingsroad	 The charms of the North seem entirely lost on you.
s01e02	The Kingsroad	 l still can't believe you're going.
s01e02	The Kingsroad	 lt's ridiculous, even for you.
s01e02	The Kingsroad	 Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the white walkers.
s01e02	The Kingsroad	 Tell me you're not thinking of taking the black.
s01e02	The Kingsroad	 And go celibate? The whores would go begging from Dorne to Casterly Rock.
s01e02	The Kingsroad	 No, l just want to stand on top of the Wall and piss off the edge of the world.
s01e02	The Kingsroad	 The children don't need to hear your filth.
s01e02	The Kingsroad	 Come.
s01e02	The Kingsroad	 Even if the boy lives, he'll be a cripple, a grotesque.
s01e02	The Kingsroad	 Give me a good, clean death any day.
s01e02	The Kingsroad	 Speaking for the grotesques, l'd have to disagree.
s01e02	The Kingsroad	 Death is so final, whereas life ah, life is full of possibilities.
s01e02	The Kingsroad	 l hope the boy does wake.
s01e02	The Kingsroad	 l'd be very interested to hear what he has to say.
s01e02	The Kingsroad	 My dear brother, there are times you make me wonder whose side you're on.
s01e02	The Kingsroad	 My dear brother, you wound me.
s01e02	The Kingsroad	 You know how much l love my family.
s01e02	The Kingsroad	 Please.
s01e02	The Kingsroad	 Oh, l would have dressed, Your Grace.
s01e02	The Kingsroad	 This is your home.
s01e02	The Kingsroad	 l'm your guest.
s01e02	The Kingsroad	 Handsome one, isn't he? l lost my first boy, a little black-haired beauty.
s01e02	The Kingsroad	 He was a fighter too - tried to beat the fever that took him.
s01e02	The Kingsroad	 Forgive me.
s01e02	The Kingsroad	 lt's the last thing you need to hear right now.
s01e02	The Kingsroad	 l never knew.
s01e02	The Kingsroad	 lt was years ago.
s01e02	The Kingsroad	 Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care.
s01e02	The Kingsroad	 The boy looked just like him.
s01e02	The Kingsroad	 Such a little thing.
s01e02	The Kingsroad	 A bird without feathers.
s01e02	The Kingsroad	 They came to take his body away and Robert held me.
s01e02	The Kingsroad	 l screamed and l battled, but he held me.
s01e02	The Kingsroad	 That little bundle.
s01e02	The Kingsroad	 They took him away and l never saw him again.
s01e02	The Kingsroad	 Never have visited the crypt, never.
s01e02	The Kingsroad	 l pray to the Mother every morning and night that she return your child to you.
s01e02	The Kingsroad	 l am grateful.
s01e02	The Kingsroad	 Perhaps this time she'll listen.
s01e02	The Kingsroad	 A sword for the Wall? - l already have one.
s01e02	The Kingsroad	 - Good man.
s01e02	The Kingsroad	 - Have you swung it yet? - Of course l have.
s01e02	The Kingsroad	 At someone, l mean.
s01e02	The Kingsroad	 lt's a strange thing, the first time you cut a man.
s01e02	The Kingsroad	 You realize we're nothing but sacks of meat and blood, and some bone to keep it all standing.
s01e02	The Kingsroad	 Let me thank you ahead of time for guarding us all from the perils beyond the Wall - wildlings and white walkers and whatnot.
s01e02	The Kingsroad	 We're grateful to have good, strong men like you protecting us.
s01e02	The Kingsroad	 We've guarded the Kingdoms for 8,000 years.
s01e02	The Kingsroad	 ls it "we" already? Have you taken your vows, then? Soon enough.
s01e02	The Kingsroad	 Give my regards to the Night's Watch.
s01e02	The Kingsroad	 l'm sure it will be thrilling to serve in such an elite force.
s01e02	The Kingsroad	 And if not it's only for life.
s01e02	The Kingsroad	 Thank you, Nymeria.
s01e02	The Kingsroad	 Septa Mordane says l have to do it again.
s01e02	The Kingsroad	 My things weren't properly folded, she says.
s01e02	The Kingsroad	 Who cares how they're folded? They're going to get all messed up anyway.
